model,accuracy,recall,precision,f1_score,roc_auc
logistic_regression,0.62916,0.6201473339569691,0.7926911292130633,0.6958832212563556,0.6344151056816253
decision_tree,0.57464,0.6287418147801683,0.7151216917143237,0.6691556219276958,0.5430943116454033
random_forest,0.65212,0.7309985968194574,0.7532381468763178,0.7419517550366436,0.6061274645698098
lighgbm,0.62332,0.6233629560336763,0.7818435139693481,0.6936664389577437,0.6232949531941432
xgboost,0.6164,0.6292095416276894,0.7681655960028551,0.6917786205566626,0.6089310119485964
